,timestamp,lat,lon,time,date
63,2019-11-15 11:44:09+00:00,6.98170106,50.96264772,11:44:09,2019-11-15
64,2019-11-15 11:44:09+00:00,6.98160309,50.96274045,11:44:09,2019-11-15
65,2019-11-15 11:44:09+00:00,6.94893341,50.93532046,11:44:09,2019-11-15
66,2019-11-15 11:44:09+00:00,6.95126785,50.97240657,11:44:09,2019-11-15
67,2019-11-15 11:44:09+00:00,6.95043895,50.93951913,11:44:09,2019-11-15
68,2019-11-15 11:44:09+00:00,6.92059792,50.94819099,11:44:09,2019-11-15
69,2019-09-04 11:25:14+00:00,6.94893341,50.93532046,11:25:14,2019-09-04
70,2019-09-04 11:25:14+00:00,6.9388346,50.93613007,11:25:14,2019-09-04
71,2019-09-04 11:25:14+00:00,6.94991269,50.93206159,11:25:14,2019-09-04
72,2019-09-04 11:25:14+00:00,7.00424372,50.96185486,11:25:14,2019-09-04
73,2019-09-04 11:25:14+00:00,6.97885699,50.93939747,11:25:14,2019-09-04
74,2019-10-13 19:58:34+00:00,6.95043895,50.93951913,19:58:34,2019-10-13
75,2019-10-13 19:58:34+00:00,6.97885699,50.93939747,19:58:34,2019-10-13
76,2019-10-13 19:58:34+00:00,6.94991269,50.93206159,19:58:34,2019-10-13
77,2019-10-13 19:58:34+00:00,6.94924713,50.93538658,19:58:34,2019-10-13
78,2019-10-13 19:58:34+00:00,6.94893341,50.93532046,19:58:34,2019-10-13
79,2019-10-13 19:58:34+00:00,7.00424372,50.96185486,19:58:34,2019-10-13
80,2019-10-13 19:58:34+00:00,6.95006596,50.93207043,19:58:34,2019-10-13
81,2019-10-13 19:58:34+00:00,6.95064757,50.93945993,19:58:34,2019-10-13
82,2019-10-13 19:58:34+00:00,6.94893341,50.93532046,19:58:34,2019-10-13
83,2019-10-13 19:58:34+00:00,6.94884599,50.93653465,19:58:34,2019-10-13
84,2019-10-15 17:39:44+00:00,6.97885699,50.93939747,17:39:44,2019-10-15
85,2019-10-15 17:39:44+00:00,6.95064757,50.93945993,17:39:44,2019-10-15
86,2019-10-15 17:39:44+00:00,6.94893341,50.93532046,17:39:44,2019-10-15
87,2019-10-15 17:39:44+00:00,6.95043895,50.93951913,17:39:44,2019-10-15
88,2019-10-15 17:39:44+00:00,6.94893341,50.93532046,17:39:44,2019-10-15
